id,full_name,pdes,name,diameter,rot_per,BV,UB,IR,spec_B,spec_T,a
a0006130,"  6130 Hutton (1989 SL5)",6130,Hutton,,,,,,,,2.973472888542644
a0006141,"  6141 Durda (1992 YC3)",6141,Durda,,460.,,,,,,1.817953246256701
a0006170,"  6170 Levasseur (1981 GP)",6170,Levasseur,,2.6529,,,,,,2.351242575637242
a0006172,"  6172 Prokofeana (1982 TX)",6172,Prokofeana,,6.540,,,,,,2.570215669870487
a0006183,"  6183 Viscome (1987 SF7)",6183,Viscome,,453.,,,,,,2.305903361345912
a0006249,"  6249 Jennifer (1991 JF1)",6249,Jennifer,,4.9566,,,,Xe,,1.914579818962382
a0006261,"  6261 Chione (1976 WC)",6261,Chione,,5.3334,,,,,,2.354767490296644
a0006318,"  6318 Cronkite (1990 WA)",6318,Cronkite,1.400,,,,,,,2.512920621109669
a0006322,"  6322 (1991 CQ)",6322,,,4.323,,,,,,2.517770484308238
a0006386,"  6386 Keithnoll (1989 NK1)",6386,Keithnoll,,3.1381,,,,S,,2.271085349364684
a0006411,"  6411 Tamaga (1993 TA)",6411,Tamaga,,8.383,,,,,,2.76560782133905
a0006444,"  6444 Ryuzin (1989 WW)",6444,Ryuzin,,7.9290,,,,,,2.229651394861123
a0006446,"  6446 Lomberg (1990 QL)",6446,Lomberg,,,,,,,,2.316762607916263
a0006485,"  6485 Wendeesther (1990 UR1)",6485,Wendeesther,,74.82,,,,,,1.910322747635657
a0006487,"  6487 Tonyspear (1991 GA1)",6487,Tonyspear,,74.91,,,,,,2.357088833168856
a0006490,"  6490 (1991 NR2)",6490,,,4.4618,,,,,,2.662431172303142
a0006500,"  6500 Kodaira (1993 ET)",6500,Kodaira,9.487,5.400,,,,B,,2.754852890191009
a0006523,"  6523 Clube (1991 TC)",6523,Clube,,,,,,,,2.64945364130538
a0006564,"  6564 Asher (1992 BB)",6564,Asher,,,,,,,,1.881600484298277
a0006585,"  6585 O'Keefe (1984 SR)",6585,O'Keefe,,,,,,Sk,,2.371146692140512
a0006847,"  6847 Kunz-Hallstein (1977 RL)",6847,Kunz-Hallstein,,6.4030,,,,Sk,,2.321587850215585
a0006874,"  6874 (1994 JO1)",6874,,,,,,,,,2.240706781532883
a0006909,"  6909 Levison (1991 BY2)",6909,Levison,,,,,,,,2.722403801367193
a0007002,"  7002 Bronshten (1971 OV)",7002,Bronshten,,2.671,,,,,,2.35752581596331
a0007079,"  7079 Baghdad (1986 RR)",7079,Baghdad,,,,,,,,2.286460947021801
a0007096,"  7096 Napier (1992 VM)",7096,Napier,5.59,,,,,,,2.782298073490711
a0007267,"  7267 Victormeen (1943 DF)",7267,Victormeen,,3.0420,,,,,,2.353658100019794
a0007304,"  7304 Namiki (1994 AE2)",7304,Namiki,,8.8712,,,,Ld,,2.620739846647976
a0007330,"  7330 Annelemaitre (1985 TD)",7330,Annelemaitre,,4.438,,,,,,2.356117732426359
a0007345,"  7345 Happer (1992 OF)",7345,Happer,,,,,,,,2.452292960674
a0007369,"  7369 Gavrilin (1975 AN)",7369,Gavrilin,5.489,49.12,,,,,,2.369378538787701
a0007445,"  7445 Trajanus (4116 P-L)",7445,Trajanus,,,,,,,,2.197283809678759
a0007467,"  7467 (1989 WQ1)",7467,,,7.633,,,,,,1.653975135805199
a0007505,"  7505 Furusho (1997 AM2)",7505,Furusho,9.07,4.139,,,,,,2.635736328720768
a0007604,"  7604 Kridsadaporn (1995 QY2)",7604,Kridsadaporn,,,,,,C,,3.112735452982016
a0007660,"  7660 Alexanderwilson (1993 VM1)",7660,Alexanderwilson,3.155,5.924,,,,,,1.91022298174686
a0007723,"  7723 Lugger (1952 QW)",7723,Lugger,,,,,,,,2.295227291022971
a0007747,"  7747 Michalowski (1987 SO)",7747,Michalowski,4.477,4.50,,,,,,2.294306875452483
a0007778,"  7778 Markrobinson (1993 HK1)",7778,Markrobinson,,7.230,,,,,,2.383604412107898
a0007816,"  7816 Hanoi (1987 YA)",7816,Hanoi,,5.17,,,,,,2.313654104500933
a0007818,"  7818 Muirhead (1990 QO)",7818,Muirhead,,,,,,,,2.339420766689365
a0007870,"  7870 (1987 UP2)",7870,,3.962,12.,,,,,,2.240538342599436
a0008251,"  8251 Isogai (1980 VA)",8251,Isogai,4.339,,,,,,,2.252731691730745
a0008256,"  8256 Shenzhou (1981 UZ9)",8256,Shenzhou,,3.395,,,,,,2.19779875722406
a0008355,"  8355 Masuo (1989 RQ1)",8355,Masuo,3.874,6.0677,,,,,,2.336321854966451
a0008444,"  8444 Popovich (1969 TR1)",8444,Popovich,,54.867,,,,,,2.26660368647439
a0008651,"  8651 Alineraynal (1989 YU5)",8651,Alineraynal,3.754,,,,,,,2.29385074358945
a0009068,"  9068 (1993 OD)",9068,,,3.4073,,,,,,1.820276797570473
a0009082,"  9082 Leonardmartin (1994 VR6)",9082,Leonardmartin,,,,,,,,2.735011634317297
a0009292,"  9292 (1982 UE2)",9292,,,,,,,,,2.19605061648381
a0009551,"  9551 Kazi (1985 UJ)",9551,Kazi,,,,,,,,2.632598213099623
a0009564,"  9564 Jeffwynn (1987 SG3)",9564,Jeffwynn,,3.035,,,,,,2.340228558122543
a0009572,"  9572 (1988 RS6)",9572,,,23.230,,,,,,2.206877448712075
a0009671,"  9671 Hemera (1997 TU9)",9671,Hemera,,2.53143,,,,,,2.691388399441168
a0009773,"  9773 (1993 MG1)",9773,,,2.74595,,,,,,2.679160953288436
a0009881,"  9881 (1994 SE)",9881,,,,,,,,,2.341182317038356
a0009969,"  9969 Braille (1992 KD)",9969,Braille,,226.4,,,,Q,,2.341714614127561
a0009992,"  9992 (1997 TG19)",9992,,,5.7402,,,,,,2.171230485074639
a0010051," 10051 Albee (1987 QG6)",10051,Albee,,,,,,,,2.292353794139293
a0010295," 10295 Hippolyta (1988 GB)",10295,Hippolyta,,,,,,,,1.974542479639235
a0010416," 10416 Kottler (1998 VA32)",10416,Kottler,,,,,,,,2.242962783580142
a0010502," 10502 Armaghobs (1987 QF6)",10502,Armaghobs,,24.978,,,,,,2.3081803103118
a0010548," 10548 (1992 PJ2)",10548,,,4.01838,,,,,,2.411390224074886
a0010578," 10578 (1995 LH)",10578,,,8.861,,,,,,2.694283615134713
a0010737," 10737 Bruck (1988 DZ4)",10737,Bruck,,3.22,,,,,,1.904593423588992
a0010984," 10984 Gispen (3507 T-3)",10984,Gispen,,,,,,,,2.169087526120694
a0011152," 11152 Oomine (1997 YH5)",11152,Oomine,,2.622,,,,,,2.189351335297535
a0011318," 11318 (1994 XZ4)",11318,,,2.977,,,,,,2.597649538660039
a0011466," 11466 Katharinaotto (1981 EL33)",11466,Katharinaotto,,,,,,,,2.279061953473268
a0011836," 11836 Eileen (1986 CB)",11836,Eileen,,8.810,,,,,,2.345594578616377
a0012008," 12008 Kandrup (1996 TY9)",12008,Kandrup,,32.9034,,,,,,1.996462559790344
a0012009," 12009 (1996 UE)",12009,,,,,,,,,2.194310568123322
a0012198," 12198 (1980 PJ1)",12198,,,,,,,,,2.142774765513668
a0012390," 12390 (1994 WB1)",12390,,,2.4629,,,,,,1.855028421565047
a0012520," 12520 (1998 HV78)",12520,,,,,,,,,2.24695681531781
a0013091," 13091 (1992 PT3)",13091,,,,,,,,,2.23950022509283
a0013153," 13153 (1995 QC3)",13153,,,,,,,,,2.416598623185448
a0013551," 13551 Gadsden (1992 FL1)",13551,Gadsden,,,,,,,,2.522577734186843
a0013819," 13819 (1999 SX5)",13819,,3.913,,,,,,,2.31843527131476
a0013920," 13920 Montecorvino (1985 PE1)",13920,Montecorvino,,,,,,,,2.163263895778889
a0014017," 14017 (1994 NS)",14017,,,,,,,,,2.167095930382553
a0014211," 14211 (1999 NT1)",14211,,,3.5856,,,,,,2.305302056225296
a0014222," 14222 (1999 WS1)",14222,,,24.869,,,,,,3.09650038801576
a0014223," 14223 Dolby (1999 XW1)",14223,Dolby,,,,,,,,2.372123509155671
a0014309," 14309 Defoy (A908 SA)",14309,Defoy,,3.391,,,,,,2.605560082085917
a0014461," 14461 (1993 FL54)",14461,,,,,,,,,2.326795816479853
a0014581," 14581 (1998 RT4)",14581,,,,,,,,,2.727173188574258
a0014653," 14653 (1998 YV11)",14653,,3.134,11.389,,,,,,2.286818915618961
a0014982," 14982 (1997 TH19)",14982,,,,,,,,,2.330524568414878
a0015609," 15609 Kosmaczewski (2000 GP124)",15609,Kosmaczewski,4.114,5.22,,,,,,2.270821069030548
a0015673," 15673 Chetaev (1978 PV2)",15673,Chetaev,2.997,,,,,,,2.206927560266227
a0015700," 15700 (1987 QD)",15700,,,3.0586,,,,,,2.208704323631177
a0015778," 15778 (1993 NH)",15778,,2.861,113.,,,,,,2.304866739179816
a0015790," 15790 Keizan (1993 TC)",15790,Keizan,5.606,19.68,,,,,,2.360220006316378
a0016142," 16142 Leung (1999 XC135)",16142,Leung,,,,,,,,2.242313751299168
a0016143," 16143 (1999 XK142)",16143,,,6.400,,,,,,2.261896170631133
a0016465," 16465 Basilrowe (1990 FV1)",16465,Basilrowe,,,,,,,,1.825904383471529
a0016474," 16474 (1990 QG3)",16474,,,,,,,,,2.235992731053938
a0016529," 16529 Dangoldin (1991 GO1)",16529,Dangoldin,,,,,,,,2.33951994180265
a0016588," 16588 Johngee (1992 ST)",16588,Johngee,,,,,,,,2.559185832699338
a0016591," 16591 (1992 SY17)",16591,,,2.73728,,,,,,2.289357257351754
a0016635," 16635 (1993 QO)",16635,,,2.20827,,,,,,2.297745620268702
